block	start	end
202	chr2R	2507785	2512462
203	chr2R	2607006	2626861
204	chr2R	2646716	2689233
205	chr2R	2699498	2757505
206	chr2R	2767786	2854350
207	chr2R	2915453	2932464
208	chr2R	2956692	3023262
209	chr2R	3030019	3108171
210	chr2R	3171034	3234487
211	chr2R	3242482	3266298
212	chr2R	3308506	3312558
213	chr2R	3449442	3451111
214	chr2R	3524846	3535678
215	chr2R	3568969	3571505
216	chr2R	3595575	3603574
217	chr2R	3795949	3802095
218	chr2R	3890014	3894967
219	chr2R	3909897	3914142
220	chr2R	3922887	3931370
221	chr2R	4147128	4260255
222	chr2R	4333062	4459433
223	chr2R	4581933	4600471
224	chr2R	4627904	4635674
225	chr2R	4700953	4705240
226	chr2R	4725447	4737767
227	chr2R	4752562	4759117
228	chr2R	4860066	4875076
229	chr2R	4918930	4933964
230	chr2R	5102210	5131756
231	chr2R	5209598	5267945
232	chr2R	5349282	5388588
233	chr2R	5411407	5421342
234	chr2R	5426498	5433478
235	chr2R	5529253	5549226
236	chr2R	5563496	5567121
237	chr2R	5588781	5598502
238	chr2R	5626348	5636888
239	chr2R	5641811	5687602
240	chr2R	5883091	5886021
241	chr2R	6048446	6097175
242	chr2R	6132516	6138516
243	chr2R	6143101	6146858
244	chr2R	6150978	6155371
245	chr2R	6163206	6166975
246	chr2R	6170791	6194180
247	chr2R	6199913	6299569
248	chr2R	6305837	6309170
249	chr2R	6542732	6622331
250	chr2R	6637890	6643403
251	chr2R	6652660	6668406
252	chr2R	6679096	6680720
253	chr2R	6748719	6755655
254	chr2R	6791205	6894858
255	chr2R	6920763	6956605
256	chr2R	7130292	7150456
257	chr2R	7202558	7221433
258	chr2R	7269507	7294006
259	chr2R	7300077	7321590
260	chr2R	7370022	7412113
261	chr2R	7424338	7452224
262	chr2R	7601940	7668049
263	chr2R	7803419	7844736
264	chr2R	7964495	7968895
265	chr2R	8105344	8127020
266	chr2R	8168851	8203237
267	chr2R	8251257	8286030
268	chr2R	8419288	8449873
269	chr2R	8672956	8737114
270	chr2R	9273421	9284078
271	chr2R	9447719	9454176
272	chr2R	9542264	9641301
273	chr2R	9655676	9679221
274	chr2R	9865636	9867072
275	chr2R	9945178	9949286
276	chr2R	9962327	9979330
277	chr2R	10006173	10013139
278	chr2R	10174984	10189201
279	chr2R	10197400	10214071
280	chr2R	10226801	10232511
281	chr2R	10427992	10445453
282	chr2R	10540402	10628960
283	chr2R	10773554	10788581
284	chr2R	10803165	10818239
285	chr2R	10923757	10985563
286	chr2R	11063053	11077380
287	chr2R	11135163	11174677
288	chr2R	11285357	11397109
289	chr2R	11487344	11493740
290	chr2R	11577879	11583776
291	chr2R	11586953	11614063
292	chr2R	11621740	11643455
293	chr2R	11655494	11735026
294	chr2R	11767377	11788106
295	chr2R	11852396	11871712
296	chr2R	11971270	11976749
297	chr2R	12187257	12195112
298	chr2R	12287138	12393594
299	chr2R	12412878	12422932
300	chr2R	12442107	12451960
301	chr2R	12487722	12559742
302	chr2R	12580043	12615214
303	chr2R	12627184	12654584
304	chr2R	12704454	12706574
305	chr2R	12768005	12776307
306	chr2R	12783964	12798050
307	chr2R	12883256	12886922
308	chr2R	12957240	12975708
309	chr2R	12989686	13027127
310	chr2R	13033814	13230172
311	chr2R	13237316	13265700
312	chr2R	13370053	13373327
313	chr2R	13391718	13396747
314	chr2R	13491834	13499306
315	chr2R	13511243	13521740
316	chr2R	13819737	13930888
317	chr2R	13935995	13950243
318	chr2R	13961181	13966909
319	chr2R	14086792	14154625
320	chr2R	14176454	14190077
321	chr2R	14345101	14422606
322	chr2R	14442960	14499413
323	chr2R	14612787	14648792
324	chr2R	14658455	14680710
325	chr2R	14702354	14704637
326	chr2R	14744896	14842685
327	chr2R	14878383	15002311
328	chr2R	15210880	15213551
329	chr2R	15219001	15247684
330	chr2R	15255006	15260998
331	chr2R	15387682	15516946
332	chr2R	15521983	15556068
333	chr2R	15568749	15602530
334	chr2R	15655871	16114664
335	chr2R	16183756	16187387
336	chr2R	16223260	16431824
337	chr2R	16458462	16467136
338	chr2R	16593923	16708731
339	chr2R	16723777	16753845
340	chr2R	16798218	16819224
341	chr2R	16830093	16852886
342	chr2R	16919555	16941644
343	chr2R	17089302	17091837
344	chr2R	17100712	17105202
345	chr2R	17150659	17154703
346	chr2R	17250155	17261941
347	chr2R	17273222	17363707
348	chr2R	17410365	17478824
349	chr2R	17637733	17938119
350	chr2R	17999987	18003514
351	chr2R	18026234	18034861
352	chr2R	18113604	18115706
353	chr2R	18132020	18183497
354	chr2R	18188219	18254443
355	chr2R	18263860	18290360
356	chr2R	18313577	18368982
357	chr2R	18476140	18479722
358	chr2R	18543093	18555538
359	chr2R	18591133	18686220
360	chr2R	18702313	18737322
361	chr2R	18749819	18764161
362	chr2R	18829293	18927836
363	chr2R	18942990	18945552
364	chr2R	18955811	18958589
365	chr2R	18969126	19217842
366	chr2R	19226151	19233162
367	chr2R	19310191	19397432
368	chr2R	19461735	19535233
369	chr2R	19554549	19555975
370	chr2R	19564916	19569499
371	chr2R	19608919	19624527
372	chr2R	19642252	19691535
373	chr2R	19700765	19726934
374	chr2R	19889404	19901781
375	chr2R	20099382	20146702
376	chr2R	20154039	20219662
377	chr2R	20226740	20283940
378	chr2R	20309668	20397790
379	chr2R	20404844	20411901
380	chr2R	20432849	20437542
381	chr2R	20473131	20480348
382	chr2R	20512016	20543381
383	chr2R	20582406	20623428
384	chr2R	20633760	20637258
385	chr2R	20678817	20682512
386	chr2R	20687265	20745969
387	chr2R	20842884	20847234
388	chr2R	20885499	20888081
389	chr2R	20901742	21076985
390	chr2R	21080303	21102228
391	chr2R	21110649	21116965
392	chr3L	152055	166229
393	chr3L	268145	318716
394	chr3L	333781	356372
395	chr3L	364435	439853
396	chr3L	446197	537392
397	chr3L	551592	563285
398	chr3L	575819	592526
399	chr3L	599949	602143
400	chr3L	638312	645598
401	chr3L	721686	734699
402	chr3L	754479	826850
403	chr3L	886221	1031355
404	chr3L	1065486	1098410
405	chr3L	1112403	1174826
406	chr3L	1187654	1238160
407	chr3L	1249377	1290385
408	chr3L	1322992	1325567
409	chr3L	1377138	1457515
410	chr3L	1470706	1479671
411	chr3L	1582070	1601441
412	chr3L	1609160	1611730
413	chr3L	1674443	1747333
414	chr3L	1764263	1770316
415	chr3L	1807764	1855822
416	chr3L	1884535	1923820
417	chr3L	1936769	1940439
418	chr3L	1967981	2255163
419	chr3L	2268404	2369493
420	chr3L	2390635	2401625
421	chr3L	2428468	2458680
422	chr3L	2467794	2551628
423	chr3L	2567640	2577012
424	chr3L	2640011	2765189
425	chr3L	2806250	2820052
426	chr3L	2831388	2836885
427	chr3L	2859382	3031290
428	chr3L	3087318	3121290
429	chr3L	3132902	3135384
430	chr3L	3242295	3312059
431	chr3L	3340125	3350953
432	chr3L	3390015	3399824
433	chr3L	3422720	3424318
434	chr3L	3439232	3446140
435	chr3L	3550299	3557057
436	chr3L	3596308	3753750
437	chr3L	3841029	3888079
438	chr3L	3966855	3985264
439	chr3L	3989344	3994965
440	chr3L	4025023	4034497
441	chr3L	4045343	4075234
442	chr3L	4116837	4125267
443	chr3L	4145825	4163181
444	chr3L	4344862	4347974
445	chr3L	4439391	4537589
446	chr3L	4581524	4612305
447	chr3L	4643589	4678652
448	chr3L	4692419	4775891
449	chr3L	4852411	4856402
450	chr3L	4861646	5080165
451	chr3L	5199083	5336049
452	chr3L	5373487	5502469
453	chr3L	5609965	5629437
454	chr3L	5663108	5669236
455	chr3L	5692207	5728019
456	chr3L	5821248	5825911
457	chr3L	5837170	5839027
458	chr3L	5972848	5988022
459	chr3L	6128336	6145229
460	chr3L	6228352	6253192
461	chr3L	6258558	6465193
462	chr3L	6507438	6524770
463	chr3L	6559093	6596459
464	chr3L	6600660	6699845
465	chr3L	6711945	6722247
466	chr3L	6791621	6873462
467	chr3L	6905370	6930424
468	chr3L	6993702	7003742
469	chr3L	7019483	7109684
470	chr3L	7160419	7208716
471	chr3L	7251270	7296581
472	chr3L	7382693	7422847
473	chr3L	7432308	7490936
474	chr3L	7530096	7630964
475	chr3L	7651193	7702223
476	chr3L	7724734	7760978
477	chr3L	7890566	7893823
478	chr3L	7942487	7951707
479	chr3L	7983064	8049227
480	chr3L	8362889	8380895
481	chr3L	8571270	8583113
482	chr3L	8652610	8657397
483	chr3L	8717882	8740426
484	chr3L	8744072	8752986
485	chr3L	8762805	8797010
486	chr3L	8830814	8864817
487	chr3L	8887275	8936338
488	chr3L	9011986	9032204
489	chr3L	9066964	9106392
490	chr3L	9138387	9163428
491	chr3L	9198604	9316728
492	chr3L	9506404	9527037
493	chr3L	9546574	9602070
494	chr3L	9621029	9667407
495	chr3L	9725829	9741257
496	chr3L	9759947	9826788
497	chr3L	9864848	9874040
498	chr3L	9901496	9957541
499	chr3L	9973209	10275240
500	chr3L	10323911	10500573
501	chr3L	10520184	10620930
502	chr3L	10745077	10844032
503	chr3L	10897127	10999087
504	chr3L	11005884	11039399
505	chr3L	11046509	11054211
506	chr3L	11124084	11152041
507	chr3L	11191531	11196813
508	chr3L	11292992	11323087
509	chr3L	11334643	11338062
510	chr3L	11360244	11407907
511	chr3L	11422846	11471667
512	chr3L	11725027	11731297
513	chr3L	11737074	11749813
514	chr3L	11772682	11777957
515	chr3L	11838256	11908984
516	chr3L	11914294	11981933
517	chr3L	12005514	12049481
518	chr3L	12062816	12099184
519	chr3L	12158408	12181157
520	chr3L	12229909	12238350
521	chr3L	12308527	12316220
522	chr3L	12335439	12384449
523	chr3L	12433791	12455006
524	chr3L	12541827	12554441
525	chr3L	12574332	12598954
526	chr3L	12608481	12631001
527	chr3L	12653675	12679987
528	chr3L	12829592	12842005
529	chr3L	12871227	12990224
530	chr3L	13049284	13216748
531	chr3L	13234125	13376936
532	chr3L	13385157	13402955
533	chr3L	13411875	13432093
534	chr3L	13513287	13534688
535	chr3L	13544832	13837455
536	chr3L	13855578	13912237
537	chr3L	14070155	14181448
538	chr3L	14185836	14203336
539	chr3L	14214373	14399562
540	chr3L	14408482	14543748
541	chr3L	14576141	14589954
542	chr3L	14602596	14612501
543	chr3L	14643981	14663312
544	chr3L	14678007	14731068
545	chr3L	14801177	14972105
546	chr3L	14981177	14983340
547	chr3L	14998025	15004433
548	chr3L	15009715	15063753
549	chr3L	15068689	15073011
550	chr3L	15117474	15124904
551	chr3L	15165027	15228563
552	chr3L	15233507	15254905
553	chr3L	15269572	15478615
554	chr3L	15634202	15795659
555	chr3L	15851225	15945804
556	chr3L	16007365	16009758
557	chr3L	16238699	16337274
558	chr3L	16348902	16367563
559	chr3L	16417503	16459861
560	chr3L	16492560	16545446
561	chr3L	16656080	16666171
562	chr3L	16716513	16722508
563	chr3L	16725333	16758874
564	chr3L	16872160	16895198
565	chr3L	16897874	16937494
566	chr3L	16951835	16969813
567	chr3L	17052204	17124100
568	chr3L	17138589	17217551
569	chr3L	17251468	17324639
570	chr3L	17335789	17338901
571	chr3L	17347728	17393132
572	chr3L	17460076	17465630
573	chr3L	17648477	17654217
574	chr3L	17671278	17759245
575	chr3L	17770145	17790445
576	chr3L	17801357	17832940
577	chr3L	17872263	17895565
578	chr3L	17915076	17941357
579	chr3L	18062190	18069574
580	chr3L	18112649	18148953
581	chr3L	18166996	18444640
582	chr3L	18464359	18605186
583	chr3L	18686983	18715910
584	chr3L	18874074	18877387
585	chr3L	18902458	18936170
586	chr3L	18943458	18959232
587	chr3L	18979283	18989304
588	chr3L	19108272	19130004
589	chr3L	19139186	19225655
590	chr3L	19271033	19336385
591	chr3L	19353674	19407244
592	chr3L	19933163	19972869
593	chr3L	20026840	20087247
594	chr3L	20102577	20117577
595	chr3L	20135693	20174419
596	chr3L	20180532	20189544
597	chr3L	20201479	20212077
598	chr3L	20245514	20280134
599	chr3L	20357570	20359849
600	chr3L	20388265	20393758
601	chr3L	20491537	20500317
602	chr3L	20523803	20529785
603	chr3L	20540586	20701440
604	chr3L	20717669	20749475
605	chr3L	20837058	20987137
606	chr3L	21027733	21032776
607	chr3L	21046345	21124636
608	chr3L	21135236	21162630
609	chr3L	21348596	21373486
610	chr3L	21379749	21383155
611	chr3L	21399286	21411247
612	chr3L	21444237	21463522
613	chr3L	21581413	21589074
614	chr3L	21637688	21666700
615	chr3L	21677354	21718398
616	chr3L	21725353	21808084
617	chr3L	21841664	21868411
618	chr3L	21900865	21913820
619	chr3L	21920567	21928452
620	chr3L	21948289	22055012
621	chr3L	22077491	22247851
622	chr3L	22262477	22277433
623	chr3L	22293830	22302949
624	chr3L	22315675	22328136
625	chr3L	22344777	22705647
626	chr3L	22744956	22786255
627	chr3L	22848502	22853386
628	chr3L	22883081	22885291
629	chr3L	22933804	22950565
630	chr3L	22955516	22971886
631	chr3L	22979440	23050285
632	chr3L	23780253	23817780
633	chr3R	76234	93941
634	chr3R	118517	128472
635	chr3R	174185	204114
636	chr3R	284977	295180
637	chr3R	314135	460581
638	chr3R	490583	533638
639	chr3R	547941	563927
640	chr3R	654321	657182
641	chr3R	664513	673034
642	chr3R	680650	728239
643	chr3R	751818	947274
644	chr3R	959775	1015250
645	chr3R	1023638	1035996
646	chr3R	1129551	1146032
647	chr3R	1157512	1162136
648	chr3R	1232270	1264879
649	chr3R	1517926	1532248
650	chr3R	1666492	1670187
651	chr3R	1708353	1820440
652	chr3R	1840101	2030862
653	chr3R	2040306	2146425
654	chr3R	2304191	2444927
655	chr3R	2453404	2460146
656	chr3R	2518905	2527800
657	chr3R	2537372	2582277
658	chr3R	2642241	2672562
659	chr3R	2680949	2710678
660	chr3R	2752979	2756745
661	chr3R	2762740	2781593
662	chr3R	2832536	2859316
663	chr3R	3026727	3063412
664	chr3R	3094449	3114290
665	chr3R	3119118	3295164
666	chr3R	3317727	3330166
667	chr3R	3349746	3353758
668	chr3R	3367785	3598850
669	chr3R	3610254	3625479
670	chr3R	3645160	3690654
671	chr3R	3769474	3795037
672	chr3R	3964486	3991885
673	chr3R	4202079	4300592
674	chr3R	4319640	4380047
675	chr3R	4509716	4516890
676	chr3R	4593879	4624632
677	chr3R	4638180	4640203
678	chr3R	4700038	4756250
679	chr3R	4773785	4799296
680	chr3R	4947293	4978283
681	chr3R	5003826	5023256
682	chr3R	5187537	5206625
683	chr3R	5272700	5310734
684	chr3R	5701784	5754282
685	chr3R	5767939	5781502
686	chr3R	5990665	5998080
687	chr3R	6006101	6017156
688	chr3R	6031098	6051642
689	chr3R	6302127	6352714
690	chr3R	6378525	6430205
691	chr3R	6455208	6487277
692	chr3R	6506448	6509820
693	chr3R	6545290	6584440
694	chr3R	6736946	6931725
695	chr3R	6979902	6983852
696	chr3R	6987292	7004213
697	chr3R	7115486	7145440
698	chr3R	7311223	7348364
699	chr3R	7723090	7767531
700	chr3R	7855531	8035858
701	chr3R	8053201	8065871
702	chr3R	8075102	8101510
703	chr3R	8112529	8152267
704	chr3R	8196541	8201853
705	chr3R	8338673	8429541
706	chr3R	8468917	8474151
707	chr3R	8559425	8773254
708	chr3R	8925898	9071374
709	chr3R	9102203	9130929
710	chr3R	9151110	9183757
711	chr3R	9236000	9251831
712	chr3R	9267265	9322907
713	chr3R	9331610	9399160
714	chr3R	9411525	9446827
715	chr3R	9580584	9591330
716	chr3R	9615293	9624154
717	chr3R	9633780	9650771
718	chr3R	9674929	9690752
719	chr3R	9707222	9723479
720	chr3R	9730161	9781617
721	chr3R	9821062	9837362
722	chr3R	9878578	9897310
723	chr3R	9966742	10076218
724	chr3R	10237653	10307462
725	chr3R	10342415	10377885
726	chr3R	10405242	10450080
727	chr3R	10455044	10468377
728	chr3R	10509088	10517026
729	chr3R	10579062	10685090
730	chr3R	10745872	10907389
731	chr3R	11250873	11259103
732	chr3R	11280869	11305449
733	chr3R	11327985	11351237
734	chr3R	11369125	11481902
735	chr3R	11518818	11578573
736	chr3R	11645326	11648360
737	chr3R	11898006	11911877
738	chr3R	11931298	11953053
739	chr3R	12001133	12003787
740	chr3R	12027857	12032397
741	chr3R	12193733	12195786
742	chr3R	12216050	12221785
743	chr3R	12343279	12369171
744	chr3R	12415804	12429831
745	chr3R	12546031	12556240
746	chr3R	12990922	13048320
747	chr3R	13067098	13192704
748	chr3R	13235045	13321587
749	chr3R	13396074	13423647
750	chr3R	13447790	13470685
751	chr3R	13564777	13596991
752	chr3R	13678335	13686728
753	chr3R	13696785	13719046
754	chr3R	13731532	13739151
755	chr3R	13789483	13817230
756	chr3R	13851882	13935506
757	chr3R	14287518	14379685
758	chr3R	14403628	14407720
759	chr3R	14414329	14477256
760	chr3R	14511236	14513846
761	chr3R	14618021	14728307
762	chr3R	14765851	14801250
763	chr3R	14817387	14839921
764	chr3R	14884081	14915289
765	chr3R	14928970	14962762
766	chr3R	15023932	15042383
767	chr3R	15064161	15227252
768	chr3R	15243286	15455783
769	chr3R	15480555	15552131
770	chr3R	15562162	15614762
771	chr3R	15619470	15658411
772	chr3R	15743395	15833446
773	chr3R	15866610	15877181
774	chr3R	15895832	16052929
775	chr3R	16165082	16341979
776	chr3R	16361537	16365444
777	chr3R	16518861	16539418
778	chr3R	16597400	16601060
779	chr3R	16679668	16732564
780	chr3R	16738213	16758957
781	chr3R	16777848	16780145
782	chr3R	16787121	16801612
783	chr3R	16810138	16873582
784	chr3R	17064845	17073674
785	chr3R	17215517	17228522
786	chr3R	17324243	17332866
787	chr3R	17462114	17473245
788	chr3R	17504511	17594517
789	chr3R	17606992	17615155
790	chr3R	17659245	17673746
791	chr3R	17694619	17699202
792	chr3R	17731726	17811063
793	chr3R	17882533	17889371
794	chr3R	17930506	18059476
795	chr3R	18081831	18101149
796	chr3R	18111367	18165580
797	chr3R	18279174	18281756
798	chr3R	18364112	18371999
799	chr3R	18378874	18389635
800	chr3R	18459987	18462087
801	chr3R	18585491	18606621
802	chr3R	18623761	18819521
803	chr3R	18851293	18857363
804	chr3R	19054423	19060601
805	chr3R	19144713	19150155
806	chr3R	19189110	19236726
807	chr3R	19238324	19467538
808	chr3R	19471258	19513915
809	chr3R	19521685	19546546
810	chr3R	19674834	19710637
811	chr3R	20507179	20530330
812	chr3R	20800415	20833575
813	chr3R	20993115	21012392
814	chr3R	21123283	21156731
815	chr3R	21172217	21230496
816	chr3R	21245667	21295235
817	chr3R	21351773	21449195
818	chr3R	21463218	21467526
819	chr3R	21517596	21650457
820	chr3R	21720491	21800924
821	chr3R	21832500	21842487
822	chr3R	21922406	21928767
823	chr3R	21968807	22056447
824	chr3R	22094390	22274858
825	chr3R	22300752	22348929
826	chr3R	22372351	22383499
827	chr3R	22396846	22537369
828	chr3R	22563936	22675689
829	chr3R	22709005	22735610
830	chr3R	22743014	22770215
831	chr3R	22788934	22895497
832	chr3R	22898636	22937221
833	chr3R	23010200	23053001
834	chr3R	23128807	23382009
835	chr3R	23418920	23425267
836	chr3R	23445392	23473100
837	chr3R	23478928	23491262
838	chr3R	23547648	23730858
839	chr3R	23807351	24132997
840	chr3R	24177400	24364569
841	chr3R	24372835	24387999
842	chr3R	24392919	24420017
843	chr3R	24437959	24458041
844	chr3R	24461627	24618596
845	chr3R	24672267	24709607
846	chr3R	24720600	24849352
847	chr3R	24990315	25017479
848	chr3R	25033532	25038079
849	chr3R	25084219	25110622
850	chr3R	25112427	25135878
851	chr3R	25158047	25293232
852	chr3R	25334334	25380197
853	chr3R	25389894	25413220
854	chr3R	25421716	25497843
855	chr3R	25512540	25545701
856	chr3R	25650498	25655817
857	chr3R	25666991	25674144
858	chr3R	25701832	25753034
859	chr3R	25777180	25812495
860	chr3R	25884606	25893358
861	chr3R	25917381	26028449
862	chr3R	26038313	26096793
863	chr3R	26118172	26245798
864	chr3R	26255611	26282765
865	chr3R	26293783	26423511
866	chr3R	26424876	26581593
867	chr3R	26623350	26627844
868	chr3R	26651956	26875845
869	chr3R	26890221	27026815
870	chr3R	27031223	27033761
871	chr3R	27050761	27191820
872	chr3R	27211216	27220370
873	chr3R	27286720	27391013
874	chr3R	27426029	27431742
875	chr3R	27453727	27490724
876	chr3R	27503473	27550709
877	chr3R	27577158	27593830
878	chr3R	27638374	27877309
879	chr4	173838	193645
880	chr4	237660	326723
881	chr4	395671	444812
882	chr4	603440	627108
883	chr4	646282	663285
884	chr4	719635	804435
885	chr4	819579	855425
886	chr4	987931	996650
887	chr4	1002119	1007990
888	chr4	1021486	1026788
889	chr4	1088375	1131867
890	chr4	1246123	1276398
891	chrX	26716	96858
892	chrX	162173	167469
893	chrX	178850	369050
894	chrX	398124	411971
895	chrX	427235	512829
896	chrX	551044	649903
897	chrX	662453	686851
898	chrX	689439	694205
899	chrX	701979	797805
900	chrX	841491	915449
901	chrX	951812	1104039
902	chrX	1122904	1124490
903	chrX	1145538	1175176
904	chrX	1179932	1231727
905	chrX	1290157	1349171
906	chrX	1379042	1399601
907	chrX	1408536	1411897
908	chrX	1424153	1480036
909	chrX	1503428	1510323
910	chrX	1543673	1550947
911	chrX	1567045	1568899
912	chrX	1571794	1583613
913	chrX	1590345	1664286
914	chrX	1668869	1743548
915	chrX	1861034	1891547
916	chrX	1898739	1902485
917	chrX	1914716	1949772
918	chrX	1980708	1984257
919	chrX	1990218	2000697
920	chrX	2088858	2101654
921	chrX	2243086	2336233
922	chrX	2345970	2476580
923	chrX	2636379	2892565
924	chrX	2909897	2986260
925	chrX	3030059	3058031
926	chrX	3069405	3174137
927	chrX	3190911	3233024
928	chrX	3290142	3333460
929	chrX	3354816	3373692
930	chrX	3379905	3464267
931	chrX	3471157	3562024
932	chrX	3707433	3771240
933	chrX	3784681	3825158
934	chrX	3872922	3985642
935	chrX	4027764	4197027
936	chrX	4219682	4257991
937	chrX	4271258	4299488
938	chrX	4323813	4410029
939	chrX	4459082	4510620
940	chrX	4554535	4559300
941	chrX	4601758	4604878
942	chrX	4615973	4781545
943	chrX	4837980	4969971
